epoch,lr-Adam,step,test0_epoch/per_atom_energy_mae,test0_epoch/per_atom_energy_maxabserr,test0_epoch/per_atom_energy_rmse,test0_epoch/total_energy_mae,test0_epoch/total_energy_maxabserr,test0_epoch/total_energy_rmse,test0_epoch/weighted_sum,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,train_metric_epoch/per_atom_energy_mae,train_metric_epoch/per_atom_energy_maxabserr,train_metric_epoch/per_atom_energy_rmse,train_metric_epoch/total_energy_mae,train_metric_epoch/total_energy_maxabserr,train_metric_epoch/total_energy_rmse,train_metric_epoch/weighted_sum,train_metric_step/per_atom_energy_mae,train_metric_step/per_atom_energy_maxabserr,train_metric_step/per_atom_energy_rmse,train_metric_step/total_energy_mae,train_metric_step/total_energy_maxabserr,train_metric_step/total_energy_rmse,train_metric_step/weighted_sum,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_maxabserr,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_maxabserr,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,38059.432384627275,38059.432384627275,,,,,,,,133.93221535330855,355.15681664421004,195.08826818808782,1801.0514713619355,4261.8817997305205,2492.7338591488874,1801.0514713619355,,,,,,,
0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,70.85319752273998,254.60174359550842,99.90602945556863,1229.429926566824,3309.82266674161,1595.9878642941353,1229.429926566824
0,,15,,,,,,,,17630.874275327176,17630.874275327176,,,101.07906834073174,355.15681664421004,132.78130243120518,1733.6141353959083,6176.593421851152,2198.9948887745486,1733.6141353959083,,,,,,,,,,,,,,
,0.005,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,14728.856083212264,14728.856083212264,,,,,,,,103.71439012713907,220.76142182621675,121.36249866912046,1686.5777501655102,2869.898483740819,1837.226938097485,1686.5777501655102,,,,,,,
1,,29,,,,,,,,,,10320.575677215484,10320.575677215484,,,,,,,,72.30820077610666,212.54808653920702,101.59023416261763,1135.6974126481637,2975.6732115488994,1483.8175083135598,1135.6974126481637,,,,,,,
1,,31,,,,,,,,,,,,,,,,,,,,,,,,,,51.31471253874675,211.2734631338841,78.5445677049456,862.0957646594846,2746.555020740494,1196.8431810170744,862.0957646594846
1,,31,,,,,,,,14948.987346785681,14948.987346785681,,,94.49671530332087,323.7215593800314,122.26605148930622,1615.4191632378695,4633.488639998053,2011.1839657985422,1615.4191632378695,,,,,,,,,,,,,,
,0.005,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,39,,,,,,,,,,6069.233938169971,6069.233938169971,,,,,,,,62.24435548706297,136.66521712393637,77.90528825548347,997.8529499455574,2186.643473982982,1247.3308888874537,997.8529499455574,,,,,,,
2,,47,,,,,,,,,,,,,,,,,,,,,,,,,,31.50824419704435,83.74161477016924,40.888495767595884,562.2188984665812,1477.070741663265,723.3100806575408,562.2188984665812
2,,47,,,,,,,,6729.497374164102,6729.497374164102,,,64.80047062566031,259.4280761664662,82.033513725575,1133.0152372515113,3810.480695499269,1402.8503514038428,1133.0152372515113,,,,,,,,,,,,,,
,0.005,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,49,,,,,,,,,,3930.6438455050657,3930.6438455050657,,,,,,,,58.62891532270824,102.44174633938178,62.69484704108517,982.6056682667058,1843.9514341088725,1080.2117217139792,982.6056682667058,,,,,,,
3,,59,,,,,,,,,,3670.735096817946,3670.735096817946,,,,,,,,53.51590287665981,79.145648688003,60.5865917247203,818.2242106705392,1503.7673250720563,936.5217078128101,818.2242106705392,,,,,,,
3,,63,,,,,,,,,,,,,,,,,,,,,,,,,,27.158525206657696,56.61628199480981,31.506431312381224,500.0787847731714,1188.9419218910061,590.8203795578244,500.0787847731714
3,,63,,,,,,,,2655.4628779979416,2655.4628779979416,,,42.97114324780207,135.78664183918158,51.531183549361074,776.4028272124822,2715.732836783631,943.1293983567749,776.4028272124822,,,,,,,,,,,,,,
,0.005,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,69,,,,,,,,,,1307.3590687076257,1307.3590687076257,,,,,,,,25.530928026889228,58.868923939860224,36.15742065894117,568.4624005412119,1353.9852506167845,814.0169074339902,568.4624005412119,,,,,,,
4,,79,,,,,,,,,,1847.7111270178334,1847.7111270178334,,,,,,,,38.98385437425948,56.652554795183505,42.98501049223826,627.4787906435813,921.7416550711368,671.9741603764664,627.4787906435813,,,,,,,
4,,79,,,,,,,,,,,,,,,,,,,,,,,,,,22.037878091183046,53.82419367337866,26.560495275135082,397.62846986857494,915.0112924474379,478.75314014319554,397.62846986857494
4,,79,,,,,,,,1789.8424410464588,1789.8424410464588,,,32.62424663796298,137.62723597017668,42.306529532052835,569.7759773902563,1906.8965601481686,719.0394758283874,569.7759773902563,,,,,,,,,,,,,,
,0.005,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,89,,,,,,,,,,1524.8098230834855,1524.8098230834855,,,,,,,,33.982293031444534,57.67342979130024,39.04881333771214,609.1694325583674,1074.6477251718352,699.9452933489647,609.1694325583674,,,,,,,
5,,95,,,,,,,,,,,,,,,,,,,,,,,,,,22.594361710088897,61.28502637128065,27.281703927765268,412.5209577144633,1041.8454483117712,490.4033140499197,412.5209577144633
5,,95,,,,,,,,1575.5921864972893,1575.5921864972893,,,32.05936643230066,92.69725259123146,39.69372981337593,582.5205619738181,2132.036809598323,725.9167328194535,582.5205619738181,,,,,,,,,,,,,,
,0.005,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,99,,,,,,,,,,402.58719296790844,402.58719296790844,,,,,,,,10.263988542267668,44.597810493227996,20.06457557407852,230.56345191656655,1025.749641344244,460.46719010385414,230.56345191656655,,,,,,,
6,,109,,,,,,,,,,1198.800432339911,1198.800432339911,,,,,,,,26.991587024101968,67.20584010897107,34.623697554419444,479.155261161544,1075.2934417435372,586.7187688347187,479.155261161544,,,,,,,
6,,111,,,,,,,,,,,,,,,,,,,,,,,,,,18.125370089107072,48.42305322895959,21.550583692401485,329.05268723176704,823.1919048923137,388.2394126639159,329.05268723176704
6,,111,,,,,,,,881.2928835044186,881.2928835044186,,,23.122875544693034,71.09655969910932,29.686577497320545,413.98194379498165,1256.6781394636691,526.6947499947471,413.98194379498165,,,,,,,,,,,,,,
,0.005,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,119,,,,,,,,,,490.7444230540427,490.7444230540427,,,,,,,,19.204130788526072,38.9311808106778,22.15275204244481,340.23188918987614,700.7612545922002,389.0385331880875,340.23188918987614,,,,,,,
7,,127,,,,,,,,,,,,,,,,,,,,,,,,,,20.77781090632522,49.95945780538125,23.850261867268213,367.9516227920065,849.3107826914802,413.6511936595603,367.9516227920065
7,,127,,,,,,,,843.0800633196206,843.0800633196206,,,23.824520633196922,85.29762638499983,29.03584101278316,422.75409457504577,1231.0727254125468,503.78163943862324,422.75409457504577,,,,,,,,,,,,,,
,0.005,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
