epoch,lr-Adam,step,test0_epoch/per_atom_energy_mae,test0_epoch/per_atom_energy_maxabserr,test0_epoch/per_atom_energy_rmse,test0_epoch/total_energy_mae,test0_epoch/total_energy_maxabserr,test0_epoch/total_energy_rmse,test0_epoch/weighted_sum,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,train_metric_epoch/per_atom_energy_mae,train_metric_epoch/per_atom_energy_maxabserr,train_metric_epoch/per_atom_energy_rmse,train_metric_epoch/total_energy_mae,train_metric_epoch/total_energy_maxabserr,train_metric_epoch/total_energy_rmse,train_metric_epoch/weighted_sum,train_metric_step/per_atom_energy_mae,train_metric_step/per_atom_energy_maxabserr,train_metric_step/per_atom_energy_rmse,train_metric_step/total_energy_mae,train_metric_step/total_energy_maxabserr,train_metric_step/total_energy_rmse,train_metric_step/weighted_sum,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_maxabserr,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_maxabserr,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,38167.8694790857,38167.8694790857,,,,,,,,132.15933238215285,357.41140899054074,195.36598854223755,1758.6950269182003,4288.936907886489,2487.9945251103327,1758.6950269182003,,,,,,,
0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,63.54708015500027,245.342034383071,93.29123352088307,1082.7424724128348,3189.446446979924,1449.422289083216,1082.7424724128348
0,,15,,,,,,,,17183.2051890859,17183.2051890859,,,98.93212766917297,357.41140899054074,131.08472523175956,1688.0117247962887,6113.991318362199,2156.6288367998477,1688.0117247962887,,,,,,,,,,,,,,
,0.005,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,13201.863731363987,13201.863731363987,,,,,,,,95.16637793873858,216.0306950435704,114.89936349416382,1507.1117125158246,2808.3990355664155,1674.333731149573,1507.1117125158246,,,,,,,
1,,29,,,,,,,,,,6678.77060510782,6678.77060510782,,,,,,,,54.165185267120286,173.3284870131722,81.72374566249286,843.2793652667609,2426.5988181844114,1187.3777168441875,843.2793652667609,,,,,,,
1,,31,,,,,,,,,,,,,,,,,,,,,,,,,,49.4573983698195,177.40960144693167,68.21624818169724,850.3632952666937,2306.3248188101115,1061.4626769120036,850.3632952666937
1,,31,,,,,,,,13167.296273346039,13167.296273346039,,,88.59361966456284,323.9862452126489,114.74883996514318,1504.3498786991559,3971.25698556474,1845.6623508870093,1504.3498786991559,,,,,,,,,,,,,,
,0.005,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,39,,,,,,,,,,9629.686700900264,9629.686700900264,,,,,,,,74.11558779594763,191.70814822313253,98.13096708430149,1221.3876399980068,3067.3303715701204,1596.5591952558334,1221.3876399980068,,,,,,,
2,,47,,,,,,,,,,,,,,,,,,,,,,,,,,46.78918640279147,80.04437225882634,52.01674817105275,870.0529557314719,1680.9318174353539,986.3558236410689,870.0529557314719
2,,47,,,,,,,,6754.767492455515,6754.767492455515,,,64.61769140064335,249.55031566373816,82.18739253958307,1144.380398966083,3741.1797197778906,1423.654400304999,1144.380398966083,,,,,,,,,,,,,,
,0.005,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,49,,,,,,,,,,4726.2944124394735,4726.2944124394735,,,,,,,,56.728926438821034,120.87759842521484,68.74805024463947,888.889299537527,1692.286377953007,1052.0334922167087,888.889299537527,,,,,,,
